id,created_at,text,user
1904571501938172356,2025-03-25 16:30:05+00:00,"@nightclerics I didn't want to assume racism but yeah that makes sense unfortunately ): Musa is such a sweet dude, I fuckin hate some of KCD fans",charboken
1904571487006450041,2025-03-25 16:30:02+00:00,RT @TomLondon6: The reason why so many well educated privileged people in England are so relaxed about the GENOCIDE in Gaza is RACISM  If w…,masaad
1904571484842189234,2025-03-25 16:30:01+00:00,"Another Final Destination is coming out,  The lead character predicts death by climate change, systemic racism, and excluding men from women’s sports.",thealbarryshow
1904571475928981771,2025-03-25 16:29:59+00:00,RT @chrisnova777: @libsoftiktok She's going too far with her bs blackish's this is racism at its finest she didn't use to act Like this the…,JessicaCat42783
1904571475761246491,2025-03-25 16:29:59+00:00,RT @LostMemeArchive: Just Found Out About Racism (2019) https://t.co/DkPxOQKbKU,ballester_nk
1904571475304341978,2025-03-25 16:29:59+00:00,RT @elonmusk: @amuse The South African government has over 100 laws that institutionalize racism against whites and asians. That is unaccep…,SouzaSo_us
1904571471575339115,2025-03-25 16:29:58+00:00,RT @TomLondon6: The reason why so many well educated privileged people in England are so relaxed about the GENOCIDE in Gaza is RACISM  If w…,jaolopes75
1904571470308610557,2025-03-25 16:29:58+00:00,RT @BeckettUnite: Keir Starmer:  •If you are Christian Ukrainian 🇺🇦 every atrocity is war crime &amp; you are welcome in 🇬🇧  •If you are Muslim…,Mixedupmarty
1904571456589041784,2025-03-25 16:29:55+00:00,RT @Natural_OneDurr: Classic Four Letters racism and insensitivity cuz this how they treated Paige with the same injury... https://t.co/Rai…,momonegroh
1904571451748786550,2025-03-25 16:29:53+00:00,@girlypopx07 @WhiskeyHVAC @goknecks @DreamLeaf5 Nope.  Lots of people are sick like that.  Your racism is showing.,SelfmadeCyborg
1904571450805428474,2025-03-25 16:29:53+00:00,It was never about illegal immigration. It was always racism in disguise. https://t.co/pY5RjApLXl,TheSysMechanic
1904571448683094330,2025-03-25 16:29:53+00:00,"RT @_PaperRings__: 21-11 head to head, 5-0 in trophies. You know you are  fucked in every angle that your only cope is racism against Tamil…",dhonism4eveer
1904571446812176849,2025-03-25 16:29:52+00:00,Typical racism and imbecilic hypocrisy from these clowns 🤡 https://t.co/i8AlRnNvVu,PastorEdW
1904571433717555222,2025-03-25 16:29:49+00:00,@memcbrexit @GoldingBF Racism only works for darker skin tones.,JK28712220
1904571424657805491,2025-03-25 16:29:47+00:00,RT @LostMemeArchive: Just Found Out About Racism (2019) https://t.co/DkPxOQKbKU,shrinick01
1904571411923947531,2025-03-25 16:29:44+00:00,RT @v_j_freeman: Albanese is an unalloyed antisemite. The Biden administration called her “unfit for her role” on account of her racism. Wh…,micahl
1904571409059185058,2025-03-25 16:29:43+00:00,"@Dwqwe22 @elonmusk @amuse Elon Musk's claim of over 100 laws in South Africa institutionalizing racism against whites and Asians stems from an IRR list of 142 race-based laws. Research shows many aim to address historical inequalities, not discriminate, though some like BBBEE and the Expropriation Act may",grok
1904571408685953255,2025-03-25 16:29:43+00:00,RT @dijoni: Police brutality and racism and corruption is real. https://t.co/gwQm1YSz23,JrJr763021
1904571390658752795,2025-03-25 16:29:39+00:00,"RT @joshxhowie: Damning clip of this smug twat.  Let’s break it down:  1. She’s passionate in her antisemitism, which is to be admired.   2…",Loain67
1904571388826181883,2025-03-25 16:29:38+00:00,RT @elonmusk: @amuse The South African government has over 100 laws that institutionalize racism against whites and asians. That is unaccep…,Tamara81733568
1904571377052512739,2025-03-25 16:29:36+00:00,RT @BeckettUnite: Keir Starmer:  •If you are Christian Ukrainian 🇺🇦 every atrocity is war crime &amp; you are welcome in 🇬🇧  •If you are Muslim…,KingLollo
1904571360870858964,2025-03-25 16:29:32+00:00,RT @elonmusk: @amuse The South African government has over 100 laws that institutionalize racism against whites and asians. That is unaccep…,f8rm6j4tnq
1904571358274605241,2025-03-25 16:29:31+00:00,"@arthurwatkins It’s Alabama, I’m inclined to believe they truly didn’t know how to spell. Plus, let them have their racism..they’re still stuck at chipotle making burritos..",CarlosAlFaiz
1904571356915597408,2025-03-25 16:29:31+00:00,@SecKennedy For decades Jewish professors have called for the erasure of ALL White people of Euro descent; where are the laws condemning anti White racism?,ChrisMazz8
1904571354734612483,2025-03-25 16:29:30+00:00,Any country with intense racism. https://t.co/1AYn37vVp1,AnyanwuX
1904571346727694715,2025-03-25 16:29:28+00:00,"They treat their past racism as something that just happened, something that was mildly annoying and not something that was contributing to oppression, society is filled with so much brainwashing and bigotry, I don’t blame children for falling into it",TaraRosePetal
1904571346220376563,2025-03-25 16:29:28+00:00,@Patriotmom717 What the hell do you have against Rep Crockett? Every post is you putting her down. It seems to me that you are jealous of this intelligent women. She's not even your Congresswoman. Enough already because you're continuing to show your racism.,StarsgmaVargas
1904571344924160198,2025-03-25 16:29:28+00:00,@JhalaZalimSingh I got this on my Christian nationalism and racism account and i got obama on this. I’m reconsidering my life choices right now. https://t.co/VP3MPn6dQI,TheBoringfollwr
1904571341396992240,2025-03-25 16:29:27+00:00,Brian Destroys Jan 6th violent criminal and exposes him for racism live ... https://t.co/XZNm5A0rhh via @YouTube,youllbeokayfilm
1904571325307289881,2025-03-25 16:29:23+00:00,RT @libsoftiktok: Rep Jasmine Crockett cries and blames Kamala losing on…. racism. https://t.co/KUgL8Uo1P8,JackJhe42
1904571304428085512,2025-03-25 16:29:18+00:00,@AfricanHub_ Any country with intense racism.,AnyanwuX
1904571296190783581,2025-03-25 16:29:16+00:00,RT @libsoftiktok: Rep Jasmine Crockett cries and blames Kamala losing on…. racism. https://t.co/KUgL8Uo1P8,aboowade33
1904571259708641633,2025-03-25 16:29:08+00:00,RT @Inhumansoflate1: Conservatives cancel culture is just racism https://t.co/343taeLdxh,Momothe4th2
1904571250703217120,2025-03-25 16:29:06+00:00,"""out of pocket shit"" and it's usually racism, sexism, transphobia, homophobia lol c'mon man this is me being stupid as fuck LMFAOOOO https://t.co/mUleuVWs10",AshtonTheTop04
1904571231766032626,2025-03-25 16:29:01+00:00,"RT @Alimajesty: Ish: We gotta stop blaming everything on systemic racism.  Marc: you brought up mass incarceration, underrepresentation in…",Materialgyal2
1904571231514272250,2025-03-25 16:29:01+00:00,RT @LostMemeArchive: Just Found Out About Racism (2019) https://t.co/DkPxOQKbKU,strawhli
1904571225906487567,2025-03-25 16:29:00+00:00,"RT @cb_doge: ELON MUSK: ""The South African government has over 100 laws that institutionalize racism against whites and asians.""   https://…",EdnaS1947617
